date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
2025-03-28;Bens Indls / Máqs e Equips;WEGE3;WEG;ON  EJ  NM;1243177587.0;2.699;2.699;
2025-03-28;Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734631801.0;2.349;2.557;
2025-03-28;Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;666378439.0;0.208;2.557;
2025-03-28;Bens Indls/Transporte;AZUL4;AZUL;PN      N2;326872005.0;0.054;2.131;
2025-03-28;Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;991920937.0;0.558;2.131;
2025-03-28;Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1216914397.0;0.987;2.131;
2025-03-28;Bens Indls/Transporte;STBP3;SANTOS BRP;ON      NM;855712622.0;0.532;2.131;
2025-03-28;Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814523002.0;0.771;3.474;
2025-03-28;Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON  ATZ NM;1145962972.0;2.25;3.474;
2025-03-28;Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302019876.0;0.252;3.474;
2025-03-28;Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261359935.0;0.074;3.474;
2025-03-28;Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;128130966.0;0.127;3.474;
2025-03-28;Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4394835131.0;2.769;2.769;
2025-03-28;Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1345832968.0;0.506;0.754;
2025-03-28;Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;532664283.0;0.186;0.754;
2025-03-28;Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;462534972.0;0.062;0.754;
2025-03-28;Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;850935197.0;0.415;0.415;
2025-03-28;Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194261422.0;0.169;0.169;
2025-03-28;Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;136643320.0;0.16;1.027;
2025-03-28;Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON  EJ  NM;1051120777.0;0.629;1.027;
2025-03-28;Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;353448195.0;0.18;1.027;
2025-03-28;Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;293689428.0;0.058;1.027;
2025-03-28;Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125446075.0;0.118;0.118;
2025-03-28;Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;533959816.0;0.006;0.006;
2025-03-28;Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;273755006.0;0.31;0.403;
2025-03-28;Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;377241484.0;0.093;0.403;
2025-03-28;Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON  ATZ NM;525591097.0;0.056;0.056;
2025-03-28;Diversos;COGN3;COGNA ON;ON  ATZ NM;1872454628.0;0.179;2.026;
2025-03-28;Diversos;RENT3;LOCALIZA;ON  EJ  NM;965986531.0;1.571;2.026;
2025-03-28;Diversos;VAMO3;VAMOS;ON      NM;485166826.0;0.117;2.026;
