date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
2025-03-18;Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1150987430.0;0.427;16.231;
2025-03-18;Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2255782178.0;4.219;16.231;
2025-03-18;Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  ATZ N2;4431132660.0;7.625;16.231;
2025-03-18;Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275170410.0;0.215;16.231;
2025-03-18;Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;779999989.0;1.474;16.231;
2025-03-18;Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1198936529.0;0.104;16.231;
2025-03-18;Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON  ED  NM;1090134379.0;0.905;16.231;
2025-03-18;Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1023538460.0;0.863;16.231;
2025-03-18;Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;370735677.0;0.362;1.585;
2025-03-18;Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1286616979.0;1.223;1.585;
2025-03-18;Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON  ED  NM;455988366.0;0.254;2.352;
2025-03-18;Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4779395040.0;0.521;2.352;
2025-03-18;Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1145289019.0;1.577;2.352;
2025-03-18;Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;389635155.0;0.049;0.915;
2025-03-18;Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;540206440.0;0.866;0.915;
2025-03-18;Telecomunicação;VIVT3;TELEF BRASIL;ON;382442128.0;0.938;1.604;
2025-03-18;Telecomunicação;TIMS3;TIM;ON      NM;807495418.0;0.666;1.604;
2025-03-18;Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;683508568.0;3.272;3.272;
2025-03-18;Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;323738747.0;0.12;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1858636840.0;0.99;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1679233590.0;0.83;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187732538.0;0.335;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1977170723.0;3.804;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268875696.0;0.565;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326175300.0;0.645;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1929556616.0;1.154;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255236938.0;0.468;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1253541010.0;1.955;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395801044.0;0.435;11.659;
2025-03-18;Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218568234.0;0.358;11.659;
