date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
2025-03-18;Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1243177587.0;2.819;2.819;
2025-03-18;Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734631801.0;2.706;2.925;
2025-03-18;Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;666378439.0;0.219;2.925;
2025-03-18;Bens Indls/Transporte;AZUL4;AZUL;PN      N2;326872005.0;0.059;2.227;
2025-03-18;Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;991920937.0;0.571;2.227;
2025-03-18;Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1216914397.0;1.052;2.227;
2025-03-18;Bens Indls/Transporte;STBP3;SANTOS BRP;ON  ED  NM;855712622.0;0.545;2.227;
2025-03-18;Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814523002.0;0.71;2.911;
2025-03-18;Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1145962972.0;1.786;2.911;
2025-03-18;Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302019876.0;0.213;2.911;
2025-03-18;Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261359935.0;0.067;2.911;
2025-03-18;Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;128130966.0;0.135;2.911;
2025-03-18;Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON  ED;4394835131.0;2.838;2.838;
2025-03-18;Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1345832968.0;0.495;0.736;
2025-03-18;Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;532664283.0;0.188;0.736;
2025-03-18;Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;462534972.0;0.053;0.736;
2025-03-18;Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;850935197.0;0.372;0.372;
2025-03-18;Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194261422.0;0.165;0.165;
2025-03-18;Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;136643320.0;0.141;1.002;
2025-03-18;Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;1051120777.0;0.625;1.002;
2025-03-18;Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;353448195.0;0.171;1.002;
2025-03-18;Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;293689428.0;0.065;1.002;
2025-03-18;Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125446075.0;0.104;0.104;
2025-03-18;Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;533959816.0;0.008;0.008;
2025-03-18;Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;273755006.0;0.304;0.395;
2025-03-18;Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;377241484.0;0.091;0.395;
2025-03-18;Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525591097.0;0.051;0.051;
2025-03-18;Diversos;COGN3;COGNA ON;ON      NM;1872454628.0;0.157;1.939;
2025-03-18;Diversos;RENT3;LOCALIZA;ON      NM;965986531.0;1.534;1.939;
2025-03-18;Diversos;VAMO3;VAMOS;ON      NM;485166826.0;0.097;1.939;
2025-03-18;Diversos;YDUQ3;YDUQS PART;ON  ATZ NM;277677050.0;0.151;1.939;
2025-03-18;Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;476976044.0;0.441;0.983;
2025-03-18;Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211783588.0;0.192;0.983;
2025-03-18;Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;314150156.0;0.35;0.983;
2025-03-18;Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5857796242.0;2.651;2.651;
2025-03-18;Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1484426957.0;0.797;18.305;
2025-03-18;Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5129958973.0;3.005;18.305;
2025-03-18;Financ e Outros / Interms Financs;BBAS3;BRASIL;ON  EX  NM;2842613858.0;3.85;18.305;
2025-03-18;Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1287247964.0;2.138;18.305;
2025-03-18;Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EB  N1;5272192664.0;8.06;18.305;
2025-03-18;Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;356586730.0;0.455;18.305;
2025-03-18;Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;637332335.0;1.213;2.145;
2025-03-18;Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;517500000.0;0.395;2.145;
2025-03-18;Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81838243.0;0.19;2.145;
2025-03-18;Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;182560698.0;0.347;2.145;
2025-03-18;Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5392540963.0;3.187;3.187;
2025-03-18;Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;765785673.0;0.723;2.362;
2025-03-18;Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;630821784.0;1.639;2.362;
2025-03-18;Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250969312.0;0.212;12.311;
2025-03-18;Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1646519336.0;0.493;12.311;
2025-03-18;Mats Básicos / Mineração;VALE3;VALE;ON  ED  NM;4270903023.0;11.606;12.311;
2025-03-18;Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265388400.0;0.144;0.144;
2025-03-18;Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1242683687.0;1.017;1.802;
2025-03-18;Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;649238303.0;0.292;1.802;
2025-03-18;Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727459637.0;0.349;1.802;
2025-03-18;Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515193199.0;0.144;1.802;
2025-03-18;Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;460791208.0;0.399;16.231;
