date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
28/03/2025;Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1090134379.0;0.9;16.683
28/03/2025;Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON  EJ  NM;1023538460.0;0.868;16.683
28/03/2025;Saúde/Comércio Distr.;HYPE3;HYPERA;ON  EJ  NM;370735677.0;0.338;1.494
28/03/2025;Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1286616979.0;1.156;1.494
28/03/2025;Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;455988366.0;0.255;2.316
28/03/2025;Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4779395040.0;0.526;2.316
28/03/2025;Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON  EJ  NM;1145289019.0;1.535;2.316
28/03/2025;Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;389635155.0;0.051;0.888
28/03/2025;Tec.Informação/Programas Servs;TOTS3;TOTVS;ON  EJ  NM;540206440.0;0.837;0.888
28/03/2025;Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;382442128.0;0.902;1.579
28/03/2025;Telecomunicação;TIMS3;TIM;ON      NM;807495418.0;0.677;1.579
28/03/2025;Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;683508568.0;3.327;3.327
28/03/2025;Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;323738747.0;0.118;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN  EJ  N1;1858636840.0;0.906;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1679233590.0;0.828;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187732538.0;0.332;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1977170723.0;3.856;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268875696.0;0.569;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326175300.0;0.625;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1929556616.0;1.07;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255236938.0;0.466;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1253541010.0;1.916;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN      N1;395801044.0;0.419;11.452
28/03/2025;Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218568234.0;0.347;11.452
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
