date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
2025-03-27;Bens Indls / Máqs e Equips;WEGE3;WEG;ON  EJ  NM;1243177587.0;2.732;2.732;
2025-03-27;Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734631801.0;2.395;2.615;
2025-03-27;Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;666378439.0;0.22;2.615;
2025-03-27;Bens Indls/Transporte;AZUL4;AZUL;PN      N2;326872005.0;0.054;2.12;
2025-03-27;Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;991920937.0;0.555;2.12;
2025-03-27;Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1216914397.0;0.977;2.12;
2025-03-27;Bens Indls/Transporte;STBP3;SANTOS BRP;ON      NM;855712622.0;0.534;2.12;
2025-03-27;Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814523002.0;0.755;3.335;
2025-03-27;Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1145962972.0;2.136;3.335;
2025-03-27;Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302019876.0;0.246;3.335;
2025-03-27;Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261359935.0;0.071;3.335;
2025-03-27;Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;128130966.0;0.127;3.335;
2025-03-27;Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4394835131.0;2.765;2.765;
2025-03-27;Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1345832968.0;0.506;0.75;
2025-03-27;Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;532664283.0;0.185;0.75;
2025-03-27;Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;462534972.0;0.059;0.75;
2025-03-27;Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;850935197.0;0.403;0.403;
2025-03-27;Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194261422.0;0.167;0.167;
